; Exolon zones: one 'zone N' block per screen, then one line
; per placed object: <cell row> <cell col> <object>.
; A column >= 128 is negative (the object hangs off the left).
; Objects with a bounding box below are the live ones: the
; player and bullets collide with them.
;
; object  dx   w  dy   h
;     5   -1   8  -2   5
;    13   -3   5  -2  10
;    15   -2   7  -1   9
;    16   -2   6  -2   8
;    18   -6  11   1   7
;    21   -2   7  -2   8
;    31   -1   6  -2   6
;    40   -1   6  -2   8
;    44   -1   8  -2   4
;    46   -1   5  -2   6

zone 0
  19 0 10
  18 0 33
  2 0 2
  8 0 11
  1 24 3
  4 16 30
  5 29 4
  10 29 13
  14 20 5

zone 1
  19 0 14
  18 0 33
  10 7 15
  12 14 16
  12 18 16
  12 22 16
  16 28 20
  0 0 30
  3 15 3
  2 20 4

zone 2
  19 0 10
  18 0 33
  11 22 23
  13 22 24
  5 22 17
  14 14 5
  12 4 17
  18 27 22
  9 28 19
  1 8 3
  2 2 4

zone 3
  19 0 14
  18 0 33
  11 231 23
  13 4 24
  12 24 16
  12 28 16
  16 19 20

zone 4
  19 0 10
  18 0 33
  1 4 4
  3 22 3
  7 27 30
  2 9 2
  10 13 15

zone 5
  19 242 14
  18 242 33
  18 18 34
  20 19 23
  14 23 21
  3 11 37
  0 1 35
  2 25 36

zone 6
  20 247 23
  8 9 23
  10 9 28
  10 19 28
  2 9 17
  6 24 19
  6 27 20
  18 23 34
  18 24 33
  19 24 14
  17 18 26
  12 25 17
  2 17 16

zone 7
  19 0 10
  18 230 33
  18 6 34
  8 231 23
  8 24 23
  8 14 28
  10 4 28
  10 24 28
  4 12 5
  15 26 5
  19 10 12
  19 15 12
  19 20 12

zone 8
  19 243 10
  20 19 23
  8 232 23
  2 4 17
  13 8 17
  10 5 28
  15 21 32
  11 20 31
  14 26 21
  0 17 3
  4 25 4

zone 9
  20 241 23
  18 18 33
  18 17 34
  19 18 14
  11 23 29
  16 18 19
  16 29 20
  14 8 16
  20 4 22
  20 12 22
  1 7 36
  3 16 30
  0 22 3

zone 10
  8 0 14
  19 0 10
  18 0 33
  11 1 25
  11 29 25
  15 23 26
  12 6 17
  2 0 17
  2 10 16
  2 14 16
  2 18 16

zone 11
  20 11 23
  19 234 14
  19 24 14
  18 25 33
  18 234 33
  18 10 34
  18 24 34
  10 23 15
  18 20 19
  16 28 20
  11 5 25
  8 231 14
  0 12 4
  2 18 30
  15 16 32
  11 15 31

zone 12
  8 0 11
  19 234 10
  18 234 33
  18 10 34
  20 11 38
  14 14 17
  6 20 17
  12 20 14
  14 20 33
  16 26 5
  15 20 27
  10 30 20
  16 5 19

zone 13
  20 0 38
  12 0 14
  14 0 33
  15 14 27
  6 18 21
  17 27 26
  20 6 22
  0 3 36

zone 14
  20 238 38
  20 14 38
  12 0 10
  14 0 33
  15 4 27
  0 3 36
  15 26 27
  6 5 17
  9 18 26
  6 23 17
  20 8 22
  20 15 22
  20 22 22

zone 15
  12 231 10
  14 231 33
  15 4 27
  20 0 38
  11 24 31
  15 25 32
  0 4 3
  2 25 30

zone 16
  11 29 13
  19 9 14
  20 233 38
  19 11 12
  19 19 12
  15 13 5
  2 20 3
  5 5 30

zone 17
  19 0 14
  13 6 17
  9 0 28
  9 13 28
  8 240 33
  2 0 17
  6 10 19
  6 14 20
  19 18 22

zone 18
  19 0 14
  18 15 34
  18 16 33
  12 21 21
  11 16 25
  13 4 17
  3 16 17
  4 22 24
  2 22 23
  9 16 23
  19 11 12
  12 28 16
  7 27 19

zone 19
  2 0 38
  9 239 38
  9 15 38
  4 4 27
  4 25 27
  19 0 10
  18 0 33
  11 15 25
  14 19 5

zone 20
  19 0 14
  18 0 33
  2 0 38
  9 0 38
  4 14 27
  6 27 26
  11 1 25
  11 29 25
  14 24 39
  14 15 39
  18 8 22
  18 21 22

zone 21
  19 0 10
  18 0 33
  12 24 16
  12 28 16
  16 4 19
  16 16 20
  11 10 25
  9 236 38
  4 6 27
  2 233 38
  0 24 37
  5 15 39

zone 22
  19 0 14
  18 244 33
  17 25 41
  13 8 40
  13 14 40
  3 14 37
  0 24 3
  2 2 30

zone 23
  19 0 10
  15 26 44
  17 25 45
  19 5 22
  9 13 28
  9 29 28
  7 13 38
  2 14 40
  1 20 16
  0 5 3

zone 24
  19 0 14
  4 12 42
  0 3 36
  1 21 3
  11 29 13
  16 9 43
  16 22 43

zone 25
  19 0 10
  0 0 14
  11 29 13
  3 2 49
  3 9 48
  3 19 49
  3 26 48
  3 5 50
  3 22 50
  15 11 46
  15 16 46
  3 11 51

zone 26
  19 0 14
  0 235 10
  3 2 49
  3 9 48
  3 5 50
  14 11 40
  14 17 40
  19 26 12

